date,cash,portfolio_value
2019-11-28,1110235.646817001,1342835.646817001
2019-11-29,1029510.672487001,1345310.672487001
2019-12-02,1037478.5120520011,1348078.512052001
2019-12-03,1037478.5120520011,1350928.512052001
2019-12-04,1037478.5120520011,1349028.512052001
2019-12-05,1163682.6615720012,1348632.6615720012
2019-12-06,1163682.6615720012,1353132.6615720012
2019-12-09,1163682.6615720012,1353432.6615720012
2019-12-10,1269268.8072345012,1357268.8072345012
2019-12-11,1269268.8072345012,1356068.8072345012
2019-12-12,1269268.8072345012,1353568.8072345012
2019-12-13,1269268.8072345012,1352068.8072345012
2019-12-16,1269268.8072345012,1351868.8072345012
2019-12-17,1269268.8072345012,1353568.8072345012
2019-12-18,1353637.8787095011,1353637.8787095011
2019-12-19,1353637.8787095011,1353637.8787095011
2019-12-20,1353637.8787095011,1353637.8787095011
2019-12-23,1259492.1270095012,1347092.1270095012
2019-12-24,1259492.1270095012,1349592.1270095012
2019-12-25,1259492.1270095012,1348592.1270095012
2019-12-26,1259492.1270095012,1348292.1270095012
2019-12-27,1067294.5764645012,1350994.5764645012
2019-12-30,943703.2385945013,1362403.2385945013
2020-01-06,1028272.0001795013,1361072.0001795013
2020-01-07,1028272.0001795013,1359572.0001795013
2020-01-08,1028272.0001795013,1343572.0001795013
2020-01-09,950751.9876095012,1341051.9876095012
2020-01-10,1055773.3226565013,1342493.3226565013
2020-01-14,1055773.3226565013,1341413.3226565013
2020-01-15,1055773.3226565013,1338773.3226565013
2020-01-16,1144934.9567715013,1337314.9567715013
2020-01-17,1144934.9567715013,1339594.9567715013
2020-01-20,1225909.2963765014,1340109.2963765014
2020-01-21,1206327.0558165014,1340227.0558165014
2020-01-22,1206327.0558165014,1340427.0558165014
2020-01-23,1206327.0558165014,1342327.0558165014
2020-01-24,1206327.0558165014,1333127.0558165014
2020-01-27,1206327.0558165014,1323427.0558165014
2020-01-28,1320749.4888465013,1320749.4888465013
2020-01-29,1320749.4888465013,1320749.4888465013
2020-01-30,1320749.4888465013,1320749.4888465013
2020-01-31,1320749.4888465013,1320749.4888465013
2020-02-03,1320749.4888465013,1320749.4888465013
2020-02-04,1320749.4888465013,1320749.4888465013
2020-02-05,1320749.4888465013,1320749.4888465013
2020-02-06,1320749.4888465013,1320749.4888465013
2020-02-07,1320749.4888465013,1320749.4888465013
2020-02-10,1186942.3353665015,1338542.3353665015
2020-02-12,1186942.3353665015,1343142.3353665015
2020-02-13,1053535.8021065015,1323135.8021065015
2020-02-14,946970.8235865015,1334770.8235865016
2020-02-17,946970.8235865015,1362570.8235865016
2020-02-18,946970.8235865015,1371770.8235865016
2020-02-19,1069181.1709065016,1346181.1709065016
2020-02-20,1229332.6391265015,1333732.6391265015
2020-02-21,1229332.6391265015,1332732.6391265015
2020-02-25,1328578.6237965014,1328578.6237965014
2020-02-26,1328578.6237965014,1328578.6237965014
2020-02-27,1328578.6237965014,1328578.6237965014
2020-02-28,1328578.6237965014,1328578.6237965014
2020-03-02,1328578.6237965014,1328578.6237965014
2020-03-03,1328578.6237965014,1328578.6237965014
2020-03-04,1328578.6237965014,1328578.6237965014
2020-03-05,1328578.6237965014,1328578.6237965014
2020-03-06,1328578.6237965014,1328578.6237965014
2020-03-09,1328578.6237965014,1328578.6237965014
2020-03-10,1328578.6237965014,1328578.6237965014
2020-03-11,1328578.6237965014,1328578.6237965014
2020-03-12,1328578.6237965014,1328578.6237965014
2020-03-13,1328578.6237965014,1328578.6237965014
2020-03-16,1328578.6237965014,1328578.6237965014
2020-03-17,1328578.6237965014,1328578.6237965014
2020-03-18,1328578.6237965014,1328578.6237965014
2020-03-19,1328578.6237965014,1328578.6237965014
2020-03-23,1328578.6237965014,1328578.6237965014
2020-03-24,1328578.6237965014,1328578.6237965014
2020-03-25,1328578.6237965014,1328578.6237965014
